route,origin,or_airp,or_lat,or_long,destination,de_airp,de_lat,de_long,train_length,train_duration,avg_speed,serv_duration,pop,pass,planes,trains,nighttrains
Lisbon_Madrid,Lisbon,PT_LPPT,38.7809542,-9.131900592219496,Madrid,ES_LEMD,40.4952269,-3.573372944738505,1042.4,564,110.893617021277,,2871133,1556417,171.034835164835,59.8621923076923,99.7703205128205
Madrid_Barcelona,Madrid,ES_LEMD,40.4952269,-3.573372944738505,Barcelona,ES_LEBL,41.29694395,2.0790473629813215,630.5,238,158.949579831933,165,6791667,1765753,194.038791208791,67.9135769230769,113.189294871795
Barcelona_Paris,Barcelona,ES_LEBL,41.29694395,2.0790473629813215,Paris,FR_LFPG,49.0068908,2.5710819691019156,1123.4,316,213.303797468354,415,5474482,1123664,123.47956043956,43.2178461538462,72.0297435897436
Paris_Berlin,Paris,FR_LFPG,49.0068908,2.5710819691019156,Berlin,DE_EDDB,52.366528349999996,13.488062884599568,1147.3,409,168.308068459658,513,13024518,643348,70.6975824175824,24.7441538461538,41.2402564102564
Berlin_Warsaw,Berlin,DE_EDDB,52.366528349999996,13.488062884599568,Warsaw,PL_EPWA,52.16306505,20.970814903702912,568.8,241,141.609958506224,347,6144600,77342,8.49912087912088,2.97469230769231,4.95782051282051
Warsaw_Budapest,Warsaw,PL_EPWA,52.16306505,20.970814903702912,Budapest,HU_LHBP,47.43527295,19.2535105675693,805.2,493,97.9959432048682,,3100844,198325,21.793956043956,7.62788461538462,12.713141025641
Budapest_Sofia,Budapest,HU_LHBP,47.43527295,19.2535105675693,Sofia,BG_LBSF,42.6955647,23.41420825648208,838.3,1314,38.2785388127854,,3011598,10,,,
,Sofia,BG_LBSF,42.6955647,23.41420825648208,,,,,,,,,1667314,,,,
